"Orden";"Símbolo";"Nombre";"Numero Atomico";"Grupo";"Periodo";"Tipo";"Subtipo";"Estado";"Valencia";"peso atómico
(uma)";"density g/mL";"Punto Ebullicion";"Punto Fusion";"peso atómico
(uma)";"Cant_Val";"Nombre_ESP";"Oxidos_ESP";"Hidruros_ESP";"Hidroxidos_ESP";"Hidracidos_ESP";"Oxosales_ESP";"Sales_ESP"
24;"Cr";"Cromo";24;6;4;"Metal";"Metales de Transición";"Sólido";"2;3;6";"51.9961";"7.19";2672;1857;"51.9961";3;"Cromo";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico";"Cromoso; Crómico"
25;"Mn";"Manganeso";25;7;4;"Metal";"Metales de Transición";"Sólido";"2;3;4;6;7";"54.938044";"7.43";1962;1244;"54.938044";5;"Manganeso";"Manganoso; Manganésico";"Manganoso; Manganésico";"Manganoso; Manganésico";"Manganoso; Manganésico";"Manganoso; Manganésico";"Manganoso; Manganésico"
26;"Fe";"Hierro";26;8;4;"Metal";"Metales de Transición";"Sólido";"2;3";55845;"7.86";2750;1535;55845;2;"Hierro";"Ferroso; Férrico";"Ferroso; Férrico";"Ferroso; Férrico";"Ferroso; Férrico";"Ferroso; Férrico";"Ferroso; Férrico"
27;"Co";"Cobalto";27;9;4;"Metal";"Metales de Transición";"Sólido";"2;3";"58.933194";"8.9";2870;1495;"58.933194";2;"Cobalto";"Cobaltoso;  Cobáltico";"Cobaltoso;  Cobáltico";"Cobaltoso;  Cobáltico";"Cobaltoso;  Cobáltico";"Cobaltoso;  Cobáltico";"Cobaltoso;  Cobáltico"
28;"Ni";"Níquel";28;10;4;"Metal";"Metales de Transición";"Sólido";"2;3";"58.6934";"8.9";2730;1453;"58.6934";2;"Níquel";"Niqueloso; Niquélico";"Niqueloso; Niquélico";"Niqueloso; Niquélico";"Niqueloso; Niquélico";"Niqueloso; Niquélico";"Niqueloso; Niquélico"
29;"Cu";"Cobre";29;11;4;"Metal";"Metales de Transición";"Sólido";"1;2";63546;"8.96";2567;1083;63546;2;"Cobre";"Cuproso; Cúprico";"Cuproso; Cúprico";"Cuproso; Cúprico";"Cuproso; Cúprico";"Cuproso; Cúprico";"Cuproso; Cúprico"
30;"Zn";"Zinc";30;12;4;"Metal";"Metales de Transición";"Sólido";2;"65.38";"7.13";906;"419.6";"65.38";1;"Zinc";"Zinc";"Zinc";"Zinc";"Zinc";"Zinc";"Zinc"
31;"Ga";"Galio";31;13;4;"Metal";"Metales del Bloque p";"Líquido";3;69723;"5.9";2403;"29.8";69723;1;"Galio";"Galio";"Galio";"Galio";"Galio";"Galio";"Galio"
32;"Ge";"Germanio";32;14;4;"Metaloide";"-";"Sólido";4;"72.63";"5.32";2830;"947.4";"72.63";1;"Germanio";"Germanio";"Germanio";"Germanio";"Germanio";"Germanio";"Gemaruro"
33;"As";"Arsénico";33;15;4;"Metaloide";"-";"Sólido";"3;5";"74.921595";"5.73";617;817;"74.921595";2;"Arsénico";"Arsenioso; Arsénico";"Arsenioso; Arsénico";"Arsenioso; Arsénico";"Arsenioso; Arsénico";"Arsenioso; Arsénico";"Arsenuro"
